Month,Age,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Credit_Mix,Credit_History_Age,Monthly_Balance
11,74,44534.37483,9,5,24.78414236,11,29,4,1,29.93314777,137270.3892
1,38,23928.64313,8,5,12.95411238,19,10,3,0,43.76450933,80927.78918
3,54,161641.8241,2,6,3.643483704,8,12,11,1,21.98283422,130063.667
10,48,164050.9936,1,5,8.574021763,9,8,14,0,17.39297211,187460.6162
7,41,110782.9469,1,12,7.607395836,7,14,7,0,41.78681419,134912.6829
8,49,122430.3612,14,6,20.85184562,8,7,10,1,40.84552778,89587.8746
6,94,10015.86135,6,10,16.96201583,7,6,14,1,49.14325835,159274.5296
7,2,117662.7031,11,8,20.17701996,22,21,13,1,24.37416981,170005.4113
1,50,128514.8286,11,12,7.993987956,28,19,2,1,36.02459606,174611.1331
5,97,55847.73126,3,11,2.91061588,8,26,2,1,11.65131095,121486.864
4,32,123198.4778,7,14,23.78078642,23,17,15,0,28.94057651,100547.7248
10,53,90587.37653,1,1,4.283340647,12,21,11,1,38.52716324,192229.2991
1,25,73713.34884,6,5,18.47002846,5,14,19,1,49.96310029,91512.33651
5,38,179569.4954,2,3,23.24405925,5,9,1,1,26.92919969,15906.24493
7,45,17595.19407,8,2,9.433783639,27,29,3,1,16.49120459,58221.44407
4,21,98671.31409,9,6,3.811804818,14,3,3,0,22.86368903,10748.25598
5,71,5942.538696,13,3,22.21642408,2,13,11,0,11.17262197,16890.68014
1,62,98866.20129,6,11,18.16742151,10,8,14,0,49.24024582,21842.04135
11,93,35513.44538,6,11,17.01090808,13,8,4,0,45.88527392,154451.3173
1,49,6880.697988,5,12,24.65347535,2,25,3,1,32.31700355,48003.83072
4,54,57258.10416,14,9,6.289136036,1,14,15,0,30.45035764,58402.46753
6,38,81487.47906,3,6,20.0767148,3,15,6,1,32.97000037,90324.13349
1,41,162081.3264,8,10,9.400986873,8,22,12,1,14.66122358,26231.64826
7,71,19007.17234,13,11,18.94362151,26,6,19,0,21.61945021,144523.0876
1,61,24398.10992,9,14,26.83581687,1,0,4,0,40.78605978,195013.454
5,69,5784.84815,13,4,6.275962324,23,26,8,0,37.8512338,21734.65924
1,55,170826.4843,8,0,0.6046759456,25,7,2,1,32.16429951,34550.09095
3,53,15605.59381,8,13,6.752514609,11,25,6,1,30.47914999,31327.21352
10,54,87586.21814,13,7,27.3716909,20,12,19,1,16.32080948,143075.6232
8,35,30977.14429,11,7,2.148176905,10,3,1,1,37.23514646,17695.37067
2,89,1066.01946,10,14,4.74377873,18,21,18,0,45.59692833,116161.0726
2,69,15825.15774,4,0,13.38291503,14,8,17,1,25.22159245,134567.455
4,62,102631.2776,4,10,26.73942552,5,12,10,0,34.90243764,54408.74313
6,1,112509.9997,2,13,1.090229765,13,18,10,0,13.3287063,68795.39851
1,44,166101.2485,1,4,22.43473708,24,10,19,1,29.373448,154334.57
1,13,61900.38145,9,10,8.405031342,17,12,16,1,15.46024551,132580.8707
1,12,6673.162661,1,0,19.21764339,7,3,3,1,48.1332446,120412.0803
10,97,83779.94157,0,14,22.36034809,4,12,13,1,29.06405569,57174.34206
8,8,169206.3625,5,9,14.99414055,14,2,2,1,29.48271329,86518.44802
10,74,168462.1718,0,10,25.10459621,11,20,0,1,24.99851434,147675.1972
10,85,27902.88487,4,3,22.24173104,14,12,9,1,43.20822637,176915.6668
11,21,167995.7357,3,1,9.955467639,7,22,19,1,33.85159267,127554.4771
4,92,137859.6205,5,8,4.581296612,0,18,13,1,20.92418897,52455.17799
9,34,130712.1372,2,0,29.72785142,16,5,12,1,20.07315694,129165.6274
9,98,114771.9193,7,3,9.445166462,1,7,14,1,26.68412594,140020.3118
6,79,175723.2496,2,7,9.350771284,28,28,1,0,45.6150267,63600.93023
11,6,165920.2665,5,5,19.52432336,0,6,1,1,20.35427284,61302.87048
6,33,13324.465,2,5,12.28640252,20,6,19,1,17.16447859,109257.4434
11,80,133282.356,12,6,28.13617763,4,10,4,1,26.41869129,16068.59332
8,19,135043.5619,8,12,22.55856376,19,16,11,0,24.10157784,65211.85815
8,63,191835.4684,10,14,0.05031265786,11,27,6,1,16.43978686,172925.2516
2,37,180509.0029,7,14,26.08767698,1,3,14,0,43.83427429,152980.0377
1,36,65503.78632,6,9,27.70445549,5,18,3,1,31.89543961,77875.1961
8,34,196899.9929,2,4,11.6777099,22,26,8,1,19.70462814,42564.5412
2,28,162401.8003,1,1,23.53077411,14,5,16,1,41.27698092,112090.1709
8,52,126550.493,12,11,25.70506809,29,19,0,1,18.3254413,94825.4748
5,64,90484.2391,1,8,2.600260846,16,13,10,0,29.50454009,175942.4635
4,23,172308.7063,1,10,20.39352552,13,3,16,0,11.20412422,64160.14749
8,34,90453.15279,12,4,2.129427509,13,0,18,0,20.83768522,41072.49542
9,58,55392.9789,6,11,12.69226807,28,1,15,1,41.62137125,113550.3482
2,37,55393.15104,0,10,19.98969833,4,21,5,0,41.29536909,28292.61182
