Order Line ID,Order ID,Order Priority,CustomerID,Customer Segment,Product ID,Product Container,Profit,Quantity Ordered,Sales,Discount,Gross Unit Price,Shipping Cost,Ship Mode,Ship Date,Order Date
6023,88028,Not Specified,CUS_0x9f55,Home Office,74eb9f2f85f25cdc1ee77776b6b91af8,Caja grande,-410.82,2,186.39,8.37,101.3,35,Aéreo Urgente,3-Jan-13,1-Jan-13
179,87946,Low,CUS_0x4fac,Corporativo,f0f14ed3738765be1b1397a4798d700c,Caja pequeña,817.05,8,"1,243.66",64.46,163.64,7.07,Aéreo Regular,9-Jan-13,1-Jan-13
3049,90853,Critical,CUS_0x4ff5,Cliente,a2c938e40306af66a7a4616b4d31f347,Bolsa de papel,104.84,11,160.6,7.81,15.87,1.97,Aéreo Regular,2-Jan-13,1-Jan-13
3048,90853,Critical,CUS_0x53d1,Cliente,7723e4afd6fe87a97170cb960b90aef1,Bolsa de papel,19.61,4,35.02,1.86,9.62,2.15,Aéreo Urgente,4-Jan-13,1-Jan-13
186,37537,Low,CUS_0xc629,Corporativo,4c99e52f2ec56f50fdb1d05b7ecc1890,Caja pequeña,555.92,32,"4,974.66",280.82,163.64,7.07,Aéreo Regular,9-Jan-13,1-Jan-13
2463,9285,Critical ,CUS_0x9647,Cliente,682edcb09aecee4f25d976db44b0a07b,Caja pequeña,-18.45,3,121.94,7.37,43.24,2.99,Aéreo Regular,4-Jan-13,1-Jan-13
184,37537,Low,CUS_0xc2fd,Corporativo,cb600fadc4a636e4956db4032988f893,Barril Jumbo,-298.48,4,"1,231.48",41.68,307.87,48.8,Camión de reparto,2-Jan-13,1-Jan-13
2474,89083,Critical,CUS_0x32be,Cliente,fe4fe447669380d6dfe4bacb663d9580,Caja pequeña,-14.3,1,40.65,2.02,43.24,2.99,Aéreo Regular,4-Jan-13,1-Jan-13
185,37537,Low,CUS_0x6b6,Corporativo,4162e66e23d29d6f9b5144acf99ff7b5,Barril Jumbo,"-1,622.92",43,"4,261.73",279.1,106.57,45,Camión de reparto,4-Jan-13,1-Jan-13
443,87463,Low,CUS_0x8ff5,Corporativo,03bd4e87b466721b097d9734e98b0e10,Caja pequeña,89.27,3,125.88,8.48,45.61,16.71,Aéreo Regular,5-Jan-13,2-Jan-13
445,87463,Low,CUS_0x6468,Corporativo,46c1e061f2a82c04aeafd1dfc98177ed,Bolsa de papel,24.08,3,30.82,1.52,10.7,2.27,Aéreo Regular,7-Jan-13,2-Jan-13
307,89583,High,CUS_0x16ae,Home Office,d2a89005faeac811a8bf695000ddb063,Bolsa de papel,18.02,7,30.56,0.6,4.5,1.2,Aéreo Regular,4-Jan-13,2-Jan-13
317,7909,High,CUS_0x6e43,Home Office,e5610c7102366149b87ba9be365aa551,Bolsa de papel,9.49,29,126.59,5.71,4.5,1.2,Aéreo Regular,4-Jan-13,2-Jan-13
444,87463,Low,CUS_0x4671,Corporativo,fe9041525f6d74eb4d587871e77dfb73,Caja grande,-108.62,12,"6,914.67",372.26,606.55,24.49,Aéreo Regular,10-Jan-13,2-Jan-13
1020,90337,Critical,CUS_0x5501,Corporativo,50a3a37da2801fb1057718e9c3c95b26,Caja pequeña,-254.64,2,231.92,6.62,117.13,2.5,Aéreo Regular,6-Jan-13,2-Jan-13
7070,88296,High,CUS_0x7dff,Home Office,dd66ded8436a2c7857fbc3ed24c11213,Caja jumbo,-265.21,1,204.18,12.48,224.37,52.2,Camión de reparto,4-Jan-13,2-Jan-13
1019,90337,Critical,CUS_0x277a,Corporativo,69b8f66b81bb81d7f087b87326d999e9,Caja pequeña,-49.82,4,21.65,0.81,5.58,5.66,Aéreo Regular,5-Jan-13,2-Jan-13
495,90430,Not Specified,CUS_0x2e65,Corporativo,227280df7771e9c784fbe1c5dc400bf2,Barril Jumbo,-541.83,1,225.27,1.98,225.27,14.7,Camión de reparto,5-Jan-13,2-Jan-13
5334,89999,High,CUS_0x747a,Home Office,c708eeb5723ac7d5e4beef6bf01f7044,Caja mediana,-49.89,3,63.13,2.38,22.15,21.2,Aéreo Regular,4-Jan-13,2-Jan-13
8687,85850,Critical,CUS_0x1a96,Corporativo,6500747357e19728a4efc34c602f4131,Bolsa de papel,6.11,11,40,1.91,3.91,1.93,Aéreo Urgente,6-Jan-13,3-Jan-13
2403,86356,High,CUS_0x86fa,Home Office,1423452acd00770b72b61c9099e7baf2,Barril Jumbo,-472.85,1,348.19,14.81,370.41,30,Camión de reparto,5-Jan-13,3-Jan-13
8686,85850,Critical,CUS_0x321f,Corporativo,0a0aac37a878ef06889b0528a89aa751,Caja pequeña,-10.87,4,13.74,0.4,3.54,6.27,Aéreo Regular,5-Jan-13,3-Jan-13
7194,85914,Critical,CUS_0x1bde,Negocio Pequeño,9cc1ace3df5f78aa5c0a33a045e01e8a,Caja grande,"1,456.62",10,"2,170.31",85.72,221.46,21.21,Aéreo Regular,6-Jan-13,4-Jan-13
7193,85914,Critical,CUS_0x37be,Negocio Pequeño,30bead9a26909e1d24ba4b3c3cd1769e,Caja grande,666.82,5,"1,015.05",35.5,205.06,11.54,Aéreo Regular,7-Jan-13,4-Jan-13
7195,85914,Critical,CUS_0x9aa1,Negocio Pequeño,b97fac19b08a68fb8ed44a5390e2a7b9,Barril Jumbo,774.62,8,"1,228.00",37.4,153.5,17.85,Camión de reparto,7-Jan-13,4-Jan-13
2318,89536,Critical,CUS_0x6632,Cliente,5636a9e40a240f3a55478605ad5289dd,Caja pequeña,440.01,6,765.85,35.1,132.96,5.26,Aéreo Regular,5-Jan-13,4-Jan-13
2317,89536,Critical,CUS_0x4854,Cliente,07847c59ca402861bdd084b2679a6481,Barril Jumbo,1.28,11,19.43,1.24,1.92,0.75,Aéreo Regular,6-Jan-13,4-Jan-13
6008,86258,High,CUS_0x78a2,Cliente,c157dfb07b2f006bb3e30aea64acf43f,Caja pequeña,-72.35,3,645.68,18.2,217.4,5.99,Aéreo Regular,7-Jan-13,4-Jan-13
6007,86258,High,CUS_0x8ad9,Cliente,d7d227a332e821d93988d6196dae0045,Paquete pequeño,-34.1,2,58.32,2.17,30.06,1.99,Aéreo Regular,6-Jan-13,4-Jan-13
5877,90404,Not Specified,CUS_0x4c61,Corporativo,b6b4b36ec2b41f426b7a4f01fe111c5c,Barril Jumbo,-157.31,1,236.89,12.08,257.49,43.32,Camión de reparto,6-Jan-13,4-Jan-13
2798,86122,Not Specified,CUS_0xa9e3,Home Office,3266ee6e674c16faf897f7e351397e20,Bolsa de papel,-38.9,6,45.94,1.7,8.06,5.83,Aéreo Regular,6-Jan-13,4-Jan-13
8634,87285,High,CUS_0xa614,Home Office,284c07c60b4a442653e202ec53ce1b69,Barril Jumbo,-225.93,2,234.91,10.28,127.67,26.3,Camión de reparto,7-Jan-13,4-Jan-13
9189,86283,Medium,CUS_0x77e2,Corporativo,6e6b798e973e87591aef7b1ac68f531a,Caja pequeña,-49.98,11,63.16,3.68,6.31,4.69,Aéreo Regular,6-Jan-13,4-Jan-13
9089,90750,Not Specified,CUS_0xb78e,Cliente,708b205092547f0b72f0c902eb43e5d8,Paquete pequeño,8.36,7,11.84,0.59,1.8,1.99,Aéreo Regular,7-Jan-13,5-Jan-13
9090,90750,Not Specified,CUS_0x4711,Cliente,070b258f37a6dd2cb488287be033c315,Caja pequeña,205.02,9,291.27,7.95,32.69,5.09,Aéreo Regular,8-Jan-13,5-Jan-13
5863,87071,Low,CUS_0xa3b8,Corporativo,57250de82ae9eb8cc13712ac4c98a5a6,Caja grande,28.78,2,40.79,1.24,21.47,35,Aéreo Regular,10-Jan-13,5-Jan-13
2107,89909,Not Specified,CUS_0x837e,Cliente,3540be0ad8bf640f81b2b7e9b19e4943,Barril Jumbo,126.94,6,946.48,21.07,159.34,30,Camión de reparto,8-Jan-13,5-Jan-13
2079,90961,Low,CUS_0x52cb,Negocio Pequeño,5b25a13b995f0396288bb0390f1412a5,Caja jumbo,-130.34,6,626.63,13.29,106.57,35.84,Camión de reparto,6-Jan-13,5-Jan-13
